id,timestamp,text,context
1,2024-01-12 09:36:05,"you should tell an adult",message
2,2024-01-17 08:48:54,"why do i feel left out?",search
3,2024-01-24 14:52:24,"periodt",message
4,2024-01-28 17:30:13,"lying is never okay",message
5,2024-01-02 13:42:11,"youre the best friend ever",message
6,2024-01-28 14:35:34,"youre already very kind",message
7,2024-01-03 20:24:55,"youre amazing",message
8,2024-01-18 20:32:22,"go off",message
9,2024-01-18 13:37:54,"everyone makes mistakes sometimes",message
10,2024-01-04 15:16:56,"no cap youre the best friend",message
11,2024-01-07 14:18:28,"i love playing that game",message
12,2024-01-21 19:22:50,"how to handle bullies",search
13,2024-01-01 17:05:48,"they dont hate you",message
14,2024-01-24 10:38:56,"fr thats so cool",message
15,2024-01-10 10:58:22,"different is special",message
16,2024-01-21 12:05:16,"just be yourself always",message
17,2024-01-11 15:23:47,"why do i feel so sad?",search
18,2024-01-18 18:35:39,"what is Facebook?",search
19,2024-01-02 18:16:44,"lying is never okay",message
20,2024-01-15 18:13:39,"youre already very kind",message
21,2024-01-08 20:06:51,"its perfectly okay to cry",message
22,2024-01-24 14:17:26,"talking things out helps",message
23,2024-01-12 13:34:22,"thats a big mood",message
24,2024-01-26 10:47:02,"slay",message
25,2024-01-18 13:32:02,"how to be more brave",search
26,2024-01-07 11:25:14,"sure what subject?",message
27,2024-01-26 11:30:52,"bet",message
28,2024-01-07 14:23:42,"youre so annoying!",message
29,2024-01-24 13:23:00,"what is TikTok?",search
30,2024-01-28 19:05:24,"what does fr mean",search
31,2024-01-17 17:56:36,"how to be happier",search
32,2024-01-28 17:26:57,"you are really smart",message
33,2024-01-01 15:57:34,"how to make new friends",search
34,2024-01-20 08:24:09,"just be yourself always",message
35,2024-01-18 20:26:23,"everyone is beautiful in their own way",message
36,2024-01-28 08:16:24,"no cap",message
37,2024-01-18 08:15:17,"how to be more confident",search
38,2024-01-04 18:13:11,"how to be more confident",search
39,2024-01-24 17:24:17,"do things that make you happy",message
40,2024-02-01 14:03:30,"no cap",message
41,2024-02-07 17:43:42,"how to be happier",search
42,2024-02-09 18:20:59,"what is Twitter?",search
43,2024-02-14 13:15:06,"talking things out helps",message
44,2024-02-07 10:58:39,"what does lowkey mean",search
45,2024-02-24 17:41:20,"bet",message
46,2024-02-27 16:49:53,"facts",message
47,2024-02-16 08:50:29,"talk to someone you trust",message
48,2024-02-06 18:34:27,"what does thats fire mean",search
49,2024-02-19 17:27:17,"youre already a great person",message
50,2024-02-09 10:59:09,"no cap youre the best friend",message
51,2024-02-20 14:12:26,"can we play together?",message
52,2024-02-25 18:34:40,"thats a big mood",message
53,2024-02-09 13:46:33,"can i download that app please?",message
54,2024-02-24 17:19:02,"how to become popular",search
55,2024-02-12 15:35:13,"how to stop feeling sad",search
56,2024-02-05 20:25:19,"what does go off mean",search
57,2024-02-28 17:39:49,"tell a teacher or parent",message
58,2024-02-07 11:51:06,"how to become popular",search
59,2024-02-20 16:55:54,"youre never alone",message
60,2024-02-28 18:04:48,"youre cool to me",message
61,2024-02-27 09:17:59,"take breaks and breathe",message
62,2024-02-17 13:47:22,"what does ngl mean",search
63,2024-02-12 17:41:09,"what does bet mean",search
64,2024-02-20 16:45:20,"how to control my anger",search
65,2024-02-24 14:16:41,"how to be happy when sad",search
66,2024-02-08 12:11:08,"youre amazing",message
